ति 	8.47928361834
यम् 	8.23509549726
य 	8.20576472523
भाष् 	8.12710918535
ते 	7.41637847919
न 	7.36201055126
मा 	7.35564110297
इ 	7.23417717975
त 	7.2262090101
स 	7.20191631753
वि 	7.1944368511
र 	7.17242457712
या 	7.11232744471
सं 	7.10742547411
नि 	7.05789793741
प्र 	7.02908756415
म 	7.01660968389
क 	6.96696713861
वा 	6.96413561242
षेप 	6.80682936039
दे 	6.79905586206
का 	6.74523634948
आक् 	6.71659477352
पा 	6.63331843328
व 	6.6320017774
’ 	6.62936325344
भव 	6.60529792095
हा 	6.6039438246
ना 	6.56807791141
पि 	6.56807791141
दि 	6.5610306659
अ 	6.55677835616
धान 	6.55250788703
च 	6.49828214948
ये 	6.49526555594
ता 	6.49375383985
ɮ 	6.48463523564
ͧस 	6.48004456193
वात 	6.45519856334
कम् 	6.44730586254
र्ि 	6.40357419793
योज 	6.37161184723
तञ् 	6.3561076607
जल 	6.33682573115
प्राप् 	6.32972090552
प 	6.30809844151
कृ 	6.28785856016
यो 	6.27664348934
नो 	6.24997524226
यः 	6.23832462504
तस् 	6.23048144758
£ा 	6.21260609575
ती 	6.2085900261
षे 	6.20657592672
भा 	6.19236248947
था 	6.18826412308
भ 	6.1862086239
कं 	6.1737861039
‘ 	6.13772705409
वृ 	6.13556489108
णम् 	6.11368217983
नु 	6.09807428217
वं 	6.09130988208
तå 	6.07764224335
ͩ 	6.04973345523
लो 	6.03787091992
दा 	6.03548143252
आ 	6.02827852023
Ēह 	6.00881318544
ण 	6.00141487796
यं 	5.99893656195
तः 	5.99396142731
धा 	5.94542060861
ͬध 	5.92692602597
तु 	5.92692602597
प्रत् 	5.91350300564
È 	5.91350300564
ए 	5.91350300564
तर 	5.91079664404
यस् 	5.86078622347
वे 	5.85793315448
ने 	5.82600010738
वर् 	5.82008293035
तहर्ि 	5.80513496892
यु 	5.7899601709
णं 	5.78074351579
नम् 	5.77144112313
शÞ 	5.76205138278
इत् 	5.75574221359
तत् 	5.74939298591
दो 	5.7333412769
हि 	5.72684774759
चा 	5.70378247466
ͧ 	5.70378247466
यत् 	5.6937321388
स्था 	5.69035945432
थ 	5.69035945432
बाध 	5.68697535634
रा 	5.68017260902
द 	5.66642668811
ष 	5.65948221576
कार 	5.65599181082
यन् 	5.64544689764
ͧम 	5.64190707094
ǐर 	5.63835466933
यğ 	5.60211882088
स्यात् 	5.58349630878
सर् 	5.57972982599
साध 	5.57594910315
शे 	5.57215403218
षा 	5.57215403218
तɮ 	5.57215403218
अथ 	5.56452040732
å 	5.56068163102
पु 	5.5568280617
तो 	5.55295958492
‘‘ 	5.54126354516
æच 	5.52942908751
æ 	5.52146091786
रत् 	5.52146091786
कर 	5.51342874616
É 	5.50125821054
षु 	5.48893772616
तं 	5.48479693349
ह 	5.48479693349
विष् 	5.48479693349
षः 	5.48063892334
ͩक 	5.47646355193
मे 	5.47646355193
कर् 	5.47227067367
के 	5.46806014114
णा 	5.46806014114
वÈ 	5.44673737167
रस् 	5.44241771052
थम् 	5.43807930892
नं 	5.43807930892
वच 	5.38449506279
रण 	5.37527840768
सू 	5.35658627467
रो 	5.35185813348
पूर् 	5.34233425196
Íय 	5.31811999384
वस् 	5.31320597904
मत् 	5.31320597904
ͬ 	5.3082676974
ɨ 	5.29330482472
मु 	5.28320372874
एव 	5.28320372874
धः 	5.26785815906
थं 	5.26785815906
तğ 	5.26785815906
सा 	5.2626901889
åय 	5.24702407216
लक् 	5.24702407216
कु 	5.24174701506
निद 	5.22574667371
मन् 	5.22035582508
नः 	5.20948615284
रः 	5.19295685089
रे 	5.19295685089
दं 	5.18178355029
शः 	5.17614973257
णे 	5.15905529921
यय 	5.1532915945
पǐ 	5.1532915945
र्ा 	5.14749447681
ȣ 	5.13579843705
दूष 	5.12989871492
कः 	5.12989871492
ͩĐ 	5.11799381242
तम् 	5.09986642782
गु 	5.09986642782
पुन 	5.08759633523
ğा 	5.08140436498
ğ 	5.06890420222
ध 	5.06259503303
पर 	5.05624580535
वत् 	5.05624580535
ȶ 	5.04985600725
जा 	5.03695260241
राक 	5.03043792139
उ 	5.02388052085
ß 	5.02388052085
पे 	5.02388052085
नां 	5.0106352941
इह 	5.0106352941
चे 	4.98360662171
गा 	4.98360662171
गृ 	4.98360662171
भू 	4.97673374242
अन् 	4.96284463026
Ï 	4.9558270576
वद् 	4.9558270576
ͬच 	4.94875989038
सव 	4.94875989038
लु 	4.94875989038
को 	4.93447393313
ब 	4.93447393313
कस् 	4.93447393313
é 	4.93447393313
Ö 	4.91998092583
यप् 	4.91998092583
याः 	4.91998092583
वात् 	4.91998092583
योग 	4.91265488574
ज 	4.90527477844
यां 	4.90527477844
नान् 	4.89034912822
देश 	4.88280192259
राप् 	4.84418708646
दाह 	4.83628190695
मर् 	4.82028156561
ͨण 	4.80402104473
वः 	4.78749174278
Þ 	4.77912349311
पित् 	4.77912349311
Ú 	4.7621739348
णः 	4.75359019111
नित् 	4.75359019111
नी 	4.74493212836
नाम 	4.73619844839
उभ 	4.72738781871
मः 	4.7184988713
ã 	4.7184988713
Èत 	4.7184988713
षष् 	4.7184988713
पक् 	4.7184988713
éय 	4.70953020131
स्या 	4.70048036579
Í 	4.70048036579
संप् 	4.70048036579
यात् 	4.69134788223
णेन 	4.67282883446
Úय 	4.67282883446
£ाप 	4.67282883446
योः 	4.66343909411
लोप 	4.65396035016
बन् 	4.65396035016
श 	4.64439089914
उप 	4.63472898823
णस् 	4.63472898823
ͧश 	4.62497281328
यɮ 	4.62497281328
